concept,title,true_score,false_score,ground_truth,confidence,unc_mean_logprobs,unc_mean_probs,unc_min_prob,unc_min_logprob,unc_median_prob,unc_median_logprobs,unc_PPL,unc_var_prob,unc_var_logprob,unc_entropy,unc_log_likelihood,unc_sqrt_normalized_log_likelihood,unc_mean_logprobs_no_stopwords,unc_mean_probs_no_stopwords,unc_min_prob_no_stopwords,unc_min_logprob_no_stopwords,unc_median_prob_no_stopwords,unc_median_logprobs_no_stopwords,unc_PPL_no_stopwords,unc_var_prob_no_stopwords,unc_var_logprob_no_stopwords,unc_entropy_no_stopwords,unc_log_likelihood_no_stopwords,unc_sqrt_normalized_log_likelihood_no_stopwords
Barack Obama is an American politician.,Barack Obama,0.997919830757098,0.0,1.0,0.997919830757098,-1.456076677778684,0.38662262905310885,0.04348284218758434,-3.1353888511657715,0.3182169438510003,-1.145021915435791,4.289098957995848,0.12110535186774424,1.209454532100911,1.9518854221689819,-13.104690100008156,-4.368230033336052,-1.2785798517371794,0.4393217925697928,0.054850478989165695,-2.903144359588623,0.3182169438510003,-1.145021915435791,3.591535589084148,0.13601422195555615,1.0933773235991116,1.4477376015243095,-8.950058962160256,-3.382804319034412
Barack Obama served as the 44th President of the United States.,Barack Obama,0.999820074448544,0.0,1.0,0.999820074448544,-0.6469693253303002,0.6901958262361325,0.008916341041837705,-4.719869613647461,0.7406838346252539,-0.30018141865730286,1.9097442361749744,0.09582980449841508,1.2067278054319948,2.8447881835340723,-10.998478530615102,-2.667522864871423,-0.7806514181116094,0.6481250986827111,0.008916341041837705,-4.719869613647461,0.7104969554661944,-0.3417906165122986,2.1828937789914704,0.108969143229069,1.4877871891753123,2.2876030267695477,-10.148468435450923,-2.8146787162650857
"Barack Obama began his presidency on January 20, 2009.",Barack Obama,0.9996411227918364,0.0,1.0,0.9996411227918364,-0.9182812938350253,0.68396173586452,0.00016198352917530287,-8.728015899658203,0.7566433950219065,-0.27914056181907654,2.5049813611113274,0.10690729354160629,3.749260473543669,3.011735688272286,-18.365625876700506,-4.10667879096315,-0.8686915771226937,0.711770405876234,0.00016198352917530287,-8.728015899658203,0.774461400280522,-0.25558745861053467,2.3837898070270156,0.09706755064528277,3.8974071720790455,2.7222496514241774,-16.505139965331182,-3.786538797782791
"Barack Obama ended his presidency on January 20, 2017.",Barack Obama,0.997430500828806,0.0,1.0,0.997430500828806,-0.87108727251034,0.6847486549827113,0.00016200175878571693,-8.727903366088867,0.8080200951768512,-0.21322821825742722,2.389507487448485,0.10901672868607264,3.5553322235928,3.102792099834286,-17.4217454502068,-3.895620711336008,-0.8312338606782234,0.7104584512420227,0.00016200175878571693,-8.727903366088867,0.8168614872057438,-0.2022857367992401,2.2961501224868113,0.10153457877459172,3.710689083509742,2.7832174170321973,-15.793443352886243,-3.6232643971455425
He was the first African American to be elected to the presidency.,Barack Obama,0.99644463134392,0.0,1.0,0.99644463134392,-1.284213946814028,0.38755601934352774,0.009896252237073347,-4.615599155426025,0.3158965376996645,-1.1523405313491821,3.6118277523757203,0.06846380750665063,1.0972118401298987,4.20391064073019,-19.26320920221042,-4.973739228978028,-1.3295628503870427,0.4006199918285632,0.009896252237073347,-4.615599155426025,0.3439530844400308,-1.0672500133514404,3.7793908671409793,0.06953702405991685,1.5496418305777668,2.475604178405752,-11.966065653483383,-3.9886885511611276
He is a member of the Democratic Party.,Barack Obama,0.9984551455180816,0.0,1.0,0.9984551455180816,-1.4838946395087986,0.4169239333372564,0.00989630414511821,-4.615593910217285,0.2919798410365837,-1.247170627117157,4.4100879805983,0.10803163022159182,1.9965024750612763,2.1979448568788853,-14.838946395087987,-4.692486868562284,-1.9305003434419632,0.3212204237667868,0.00989630414511821,-4.615593910217285,0.26068640183754443,-1.3982461094856262,6.892958225365112,0.07675301020841126,2.4919194035220937,1.355501644034403,-11.58300206065178,-4.728740789700492
"Barack Obama was born in Honolulu, Hawaii.",Barack Obama,0.997597862161762,0.0,1.0,0.997597862161762,-0.9302875947413178,0.6263842594993978,0.002138238779566666,-6.147772789001465,0.7174201503438682,-0.33209362626075745,2.535238193954767,0.10858935705619724,2.484498404630836,2.39253439370459,-12.093738731637131,-3.3541996237678853,-0.9711035175661725,0.6367034423739526,0.002138238779566666,-6.147772789001465,0.7174201503438682,-0.33209362626075745,2.640857084174393,0.11296363687765189,2.870859552676879,1.8996604034468838,-10.682138693227898,-3.2207860003612985
"Barack Obama was born on August 4, 1961.",Barack Obama,0.9994371162785148,0.0,1.0,0.9994371162785148,-0.6997930205680485,0.6682048491115286,0.02516988668728582,-3.6821069717407227,0.8446211995419661,-0.16886703670024872,2.013335945211089,0.12442894579959173,0.977248806085357,2.5995799272796987,-11.896481349656824,-2.885320539872096,-0.5514825711376034,0.7320376115168121,0.02516988668728582,-3.6821069717407227,0.9678263748248145,-0.032702572643756866,1.7358245945675153,0.10515512491669889,0.8789725694745958,2.020247648409787,-8.27223856706405,-2.1358828137395847
Ann Dunham is Barack Obama's mother.,Barack Obama,0.9990769378242348,0.0,1.0,0.9990769378242348,-1.4521229855478548,0.6315280505703398,9.218111900415687e-06,-11.594340324401855,0.7008932723960621,-0.35555632412433624,4.27217465954827,0.11421753868004793,9.762039232182158,2.003189225350516,-17.425475826574257,-5.030301579614982,-1.369874845012832,0.6803289755256721,9.218111900415687e-06,-11.594340324401855,0.7132991046075714,-0.33785444498062134,3.9348581975246097,0.09602258796937332,10.56832026474109,1.779953159382568,-15.068623295141151,-4.54336087065382
Ann Dunham is a white American.,Barack Obama,0.9918320038464474,0.0,1.0,0.9918320038464474,-3.169025720666266,0.23857268942514231,9.218243767507348e-06,-11.59432601928711,0.09471615980712521,-2.356870651245117,23.784300512036125,0.096304057594381,10.524763544378485,1.5273692532007461,-28.521231485996395,-9.507077161998799,-3.2060994865771915,0.28974919704799784,9.218243767507348e-06,-11.59432601928711,0.12206880779732218,-2.103170394897461,24.682623315897736,0.11167860098397478,13.392606464594126,1.2140948109795078,-22.44269640604034,-8.482541920015114
