concept,title,true_score,false_score,ground_truth,confidence,unc_mean_logprobs,unc_mean_probs,unc_min_prob,unc_min_logprob,unc_median_prob,unc_median_logprobs,unc_PPL,unc_var_prob,unc_var_logprob,unc_entropy,unc_log_likelihood,unc_sqrt_normalized_log_likelihood,unc_mean_logprobs_no_stopwords,unc_mean_probs_no_stopwords,unc_min_prob_no_stopwords,unc_min_logprob_no_stopwords,unc_median_prob_no_stopwords,unc_median_logprobs_no_stopwords,unc_PPL_no_stopwords,unc_var_prob_no_stopwords,unc_var_logprob_no_stopwords,unc_entropy_no_stopwords,unc_log_likelihood_no_stopwords,unc_sqrt_normalized_log_likelihood_no_stopwords
Elizabeth II is the current reigning monarch of the United Kingdom.,Elizabeth II,0.0,0.9996674503568944,0.0,0.9996674503568944,-0.8041723587860664,0.5751175186259191,0.06423844426862584,-2.7451534271240234,0.6409495378795553,-0.4448045492172241,2.23484608246055,0.10180415264348218,0.6801602131575563,3.237911042024641,-12.062585381790996,-3.114546153058771,-0.7726224388249896,0.6215916117427309,0.06423844426862584,-2.7451534271240234,0.7023762444966095,-0.3532860577106476,2.1654375417143616,0.11647501607208438,0.8647440370420267,1.9595016021735385,-8.498846827074885,-2.562498734191809
Elizabeth II is the current reigning monarch of the Commonwealth realms.,Elizabeth II,0.0,0.9991613055010032,0.0,0.9991613055010032,-1.1093133394346069,0.5172395668229988,0.008177449069452607,-4.806375026702881,0.432091522685102,-0.8406772315502167,3.0322755353753768,0.12048162924107432,1.5562758809255097,3.31245330431232,-17.74901343095371,-4.437253357738427,-1.1821067935129577,0.5405480077068152,0.008177449069452607,-4.806375026702881,0.54857729356666,-0.6148093044757843,3.261237724822107,0.14540711729952463,1.9997428007589049,2.03404341796679,-14.185281522155492,-4.094938052673549
"Elizabeth II was born on April 21, 1926.",Elizabeth II,0.99856401221855,0.0,1.0,0.99856401221855,-0.6580797663944609,0.6666346201222377,0.0628211371018942,-2.7674636840820312,0.8447455441742269,-0.1687198281288147,1.9310806459367436,0.11794275629367157,0.7153594653760741,2.7050439681195364,-11.187356028705835,-2.7133323869261576,-0.4875689926246802,0.7362879409134689,0.0628211371018942,-2.7674636840820312,0.8731862699019507,-0.13560637831687927,1.6283528666083062,0.09242667260574061,0.5634530825053925,2.146648975825795,-7.313534889370203,-1.8883465885625133
Elizabeth II is the daughter of King George VI.,Elizabeth II,0.9992669982771136,0.0,1.0,0.9992669982771136,-1.0399737538431177,0.48252665716359205,0.06119955619618197,-2.7936153411865234,0.45620237253383433,-0.7848187685012817,2.8291427592524068,0.09861488545329111,0.8093516718603323,2.65278965583549,-11.439711292274296,-3.449202733315049,-1.1271424386650324,0.4638654040466307,0.06119955619618197,-2.7936153411865234,0.49602474854382217,-0.7043625712394714,3.0868230988075203,0.093997762650674,0.9598585776390008,1.929043593178184,-9.017139509320259,-3.1880402469727462
Elizabeth II is the daughter of Queen Elizabeth.,Elizabeth II,0.9976322719006504,0.0001395104568519,1.0,0.9976322719006504,-1.089179093344137,0.4352382910460567,0.07557594132643436,-2.5826172828674316,0.30167670617941944,-1.2080376148223877,2.971833473069779,0.09387006406728327,0.5556415150442533,2.6104495541738886,-10.89179093344137,-3.4442867148046146,-1.209886968668018,0.39364504243437015,0.07557594132643436,-2.5826172828674316,0.24490020964046072,-1.4069044589996338,3.3531056251333555,0.0822523138505753,0.6021873693181624,1.8867045607559114,-8.469208780676126,-3.201060033593372
Queen Elizabeth later became known as the Queen Mother.,Elizabeth II,0.000139801639607,0.9997136760385316,0.0,0.9997136760385316,-2.420361993030052,0.335185059761173,3.849088252005988e-06,-12.467674255371094,0.2365965054426773,-1.441399097442627,11.249930974482517,0.08778454367500305,11.065322231140902,2.527819795480195,-26.623981923330575,-8.027432587717476,-2.797071201985495,0.2978346000729521,3.849088252005988e-06,-12.467674255371094,0.14951195205517406,-1.900378942489624,16.396554183399914,0.09544552269823357,12.726434790286651,1.874492847371124,-25.173640817869455,-8.391213605956485
"Elizabeth II has been in power since February 6, 1952.",Elizabeth II,0.9998254376677772,0.0,1.0,0.9998254376677772,-1.099176662563372,0.6031416438394887,0.0008383583190727648,-7.084064960479736,0.6963702378778956,-0.36982011795043945,3.0016935995525222,0.14025010527765727,2.944657113016607,2.80897882534567,-19.7851799261407,-4.663411630923348,-0.8276353169271412,0.7038178352638711,0.0008383583190727648,-7.084064960479736,0.8252359105278442,-0.19208598136901855,2.2879021750124875,0.10706192622932573,3.0195143581810706,2.1558087352793054,-12.414529753907118,-3.205417799191915
Elizabeth II is the longest-reigning monarch in British history.,Elizabeth II,0.997083718933116,0.0,1.0,0.997083718933116,-0.7284469411970349,0.6133061492267906,0.03671989092615828,-3.304436683654785,0.6965216323539722,-0.36165751516819,2.07186038671303,0.10398714146416602,0.7114352750819004,3.2187064106284273,-11.655151059152558,-2.9137877647881396,-0.6934137118872828,0.6469837142484962,0.03671989092615828,-3.304436683654785,0.6975488912653789,-0.36018267273902893,2.0005331336999355,0.10899669473514681,0.8165046490804874,2.3219461990389547,-9.014378254534677,-2.500138693319412
Elizabeth II ascended to the throne.,Elizabeth II,0.9991492797977912,0.0,1.0,0.9991492797977912,-1.4730027918186452,0.5615310328558192,0.003297885661903411,-5.714473724365234,0.5334106901505838,-0.628463625907898,4.362314616404592,0.1491026157457278,4.061312102377623,1.2921033976389664,-13.257025126367807,-4.4190083754559355,-1.801616761567337,0.5053521350432882,0.003297885661903411,-5.714473724365234,0.45620786530653396,-0.7848067283630371,6.0594362128332175,0.16306934528651942,4.709059909193572,0.939924823900651,-12.61131733097136,-4.766629908952724
Elizabeth II's ascent followed the death of her father.,Elizabeth II,0.9994521203009242,0.0,1.0,0.9994521203009242,-2.087004059933991,0.5103829156542398,4.79150377891152e-05,-9.946081161499023,0.46961763253787436,-0.7562445998191833,8.060729490538755,0.13572334113151924,9.859217556276443,2.3736622363200697,-29.21805683907587,-7.808854157079222,-1.7700230762976306,0.5341016779281857,4.79150377891152e-05,-9.946081161499023,0.48303210397960245,-0.7276721596717834,5.870988840505286,0.12208167747871652,8.314180868310991,2.012306024024763,-19.470253839273937,-5.870502414349849
