concept,title,true_score,false_score,ground_truth,confidence,unc_mean_logprobs,unc_mean_probs,unc_min_prob,unc_min_logprob,unc_median_prob,unc_median_logprobs,unc_PPL,unc_var_prob,unc_var_logprob,unc_entropy,unc_log_likelihood,unc_sqrt_normalized_log_likelihood,unc_mean_logprobs_no_stopwords,unc_mean_probs_no_stopwords,unc_min_prob_no_stopwords,unc_min_logprob_no_stopwords,unc_median_prob_no_stopwords,unc_median_logprobs_no_stopwords,unc_PPL_no_stopwords,unc_var_prob_no_stopwords,unc_var_logprob_no_stopwords,unc_entropy_no_stopwords,unc_log_likelihood_no_stopwords,unc_sqrt_normalized_log_likelihood_no_stopwords
Osama bin Laden was a Saudi Arabian terrorist.,Osama bin Laden,0.996617825680712,0.0,1.0,0.996617825680712,-1.1674007972973273,0.5314849594175818,0.011682061342308897,-4.449700832366943,0.43026145844554636,-0.8433622121810913,3.2136289007879975,0.1454135389509087,1.8303676407620957,2.3085644647110635,-15.176210364865256,-4.2091234336730565,-1.1067971497924936,0.5874078175018292,0.011682061342308897,-4.449700832366943,0.49121614174959516,-0.7108710408210754,3.02465534602241,0.15144812002656913,2.137756808501933,1.640276038545893,-12.174768647717428,-3.670830864896483
Osama bin Laden founded al-Qaeda.,Osama bin Laden,0.9948622660357938,0.0,1.0,0.9948622660357938,-0.864077623348119,0.68668570802173,0.004438088601763519,-5.417531490325928,0.9488042505532865,-0.05255277082324028,2.3728164458070573,0.13501514103304907,2.2480326953368786,1.5922016676332837,-11.233009103525546,-3.115476176962703,-0.9356104313495356,0.661048500721696,0.004438088601763519,-5.417531490325928,0.8802123934239074,-0.13063756935298443,2.548768831363683,0.13772193960991924,2.3688484992142405,1.5865499556903748,-11.227325176194427,-3.2410496063776577
Osama bin Laden was the leader of al-Qaeda.,Osama bin Laden,0.9938073837765006,0.0,1.0,0.9938073837765006,-0.7422532682439851,0.6460064859086634,0.06400577793395897,-2.74878191947937,0.879767779464194,-0.13102333061397076,2.1006635441897634,0.13699412255553428,0.8583472805379349,2.431611133066371,-11.876052291903761,-2.9690130729759403,-0.6409801612862793,0.6711693406945042,0.07751340558242617,-2.5573043823242188,0.879767779464194,-0.13102333061397076,1.8983406477306286,0.12098804671474199,0.6730794335420365,1.8852213890513507,-7.691761935435352,-2.2204204119830586
Al-Qaeda is an extremist Islamist organization.,Osama bin Laden,0.9958757479836762,0.0,1.0,0.9958757479836762,-1.7761299679321902,0.46223604325573475,0.0006434009381505633,-7.348742485046387,0.37953696920895313,-1.0140845477581024,5.906952033033849,0.16559860176246094,4.133157808354062,2.0283923229689393,-24.865819551050663,-6.645669814384044,-1.773326292761009,0.47904664718505197,0.0006434009381505633,-7.348742485046387,0.49121555617467144,-0.710872232913971,5.890414052677122,0.16007300647961215,4.659196813457293,1.620005454974789,-19.506589220371097,-5.881457943960199
Al-Qaeda is responsible for numerous terrorist attacks.,Osama bin Laden,0.9915513362635536,0.0,1.0,0.9915513362635536,-1.8249548842342427,0.49584232930643163,0.0006433957226146287,-7.348750591278076,0.49121687371923145,-0.710869550704956,6.202515181570332,0.15065630334537172,5.8378686427490765,2.038031474018105,-23.724413495045155,-6.579968410515011,-2.199182990193367,0.4282604863757625,0.0006433957226146287,-7.348750591278076,0.4391512804295035,-0.8299893736839294,9.01764298620087,0.13210029061491657,6.787913716258989,1.713190459702545,-21.99182990193367,-6.95442724051078
The September 11 attacks occurred in the United States in 2001.,Osama bin Laden,0.9968430789874833,0.0,1.0,0.9968430789874833,-1.5125862392719442,0.5425345651608725,0.0002527946054378022,-8.282933235168457,0.5309389065953969,-0.6331083178520203,4.5384531551491225,0.16191466406329424,4.434628878718698,2.6541814673351904,-28.73913854616694,-6.5932105603766376,-1.1780824623225878,0.667181305054134,0.0002527946054378022,-8.282933235168457,0.8518629600433344,-0.16032961010932922,3.248139797003623,0.13076297387818342,4.990732540340477,1.9274703992148858,-17.671236934838817,-4.562693757034409
Al-Qaeda was responsible for the September 11 attacks.,Osama bin Laden,0.990168256731492,0.0,1.0,0.990168256731492,-1.0975420344639133,0.6149563312014477,0.0006433963362048972,-7.34874963760376,0.6531668366036276,-0.43507395684719086,2.996790954940709,0.13749693760955004,3.2851977750668007,2.456836582177977,-17.560672551422613,-4.390168137855653,-1.2411187384689886,0.584880667515772,0.0006433963362048972,-7.34874963760376,0.5557662515908952,-0.5875517129898071,3.4594815557673306,0.13486121529632,3.977527664834097,1.9954523762038887,-14.893424861627864,-4.299361426508156
The September 11 attacks are the most notable terrorist attacks.,Osama bin Laden,0.9794526047064924,0.0,1.0,0.9794526047064924,-2.4180493886399614,0.3382666540082281,0.00025279484652163966,-8.28293228149414,0.1260459502260161,-2.080656051635742,11.223944394643672,0.14613172743939015,5.032684932325075,2.0326418469909413,-33.85269144095946,-9.047512356588925,-2.2258105304367333,0.412870144766818,0.00025279484652163966,-8.28293228149414,0.3653486951237115,-1.006903052330017,9.260986073768768,0.15915993483603286,6.02798988165921,1.5695948256322314,-24.483915834804066,-7.3821783838805715
Bin Laden was born in 1957.,Osama bin Laden,0.9982613618854224,1.6672665099247506e-05,1.0,0.9982613618854224,-1.1611220526510106,0.5353314659626821,0.0070209678613843765,-4.9588541984558105,0.4912153219448974,-0.7108727097511292,3.1935145580228896,0.12758138818266457,1.9869008859859496,2.4444355361862593,-15.094586684463138,-4.186485097905217,-1.243572163234851,0.5342472298743203,0.0070209678613843765,-4.9588541984558105,0.4912153219448974,-0.7108727097511292,3.467979553830087,0.14165299059491007,2.268758312689533,1.8754334759814455,-13.679293795583362,-4.1244622651805996
Bin Laden was born into a wealthy family.,Osama bin Laden,0.9943314774471956,0.0,1.0,0.9943314774471956,-1.3821182312868503,0.44669350315576395,0.0070209209915237415,-4.958860874176025,0.4187631549971019,-0.8704497814178467,3.9833303122846164,0.11289966203670265,2.0232858486688055,2.4019365559243924,-15.203300544155354,-4.583967589088126,-1.3628741438851648,0.4684907996391179,0.0070209209915237415,-4.958860874176025,0.44671624432750767,-0.8077933192253113,3.9074076300255927,0.11824973718032518,2.3122104458433874,1.697746252036854,-10.902993151081319,-3.854790196180042
