concept,title,true_score,false_score,ground_truth,confidence,unc_mean_logprobs,unc_mean_probs,unc_min_prob,unc_min_logprob,unc_median_prob,unc_median_logprobs,unc_PPL,unc_var_prob,unc_var_logprob,unc_entropy,unc_log_likelihood,unc_sqrt_normalized_log_likelihood,unc_mean_logprobs_no_stopwords,unc_mean_probs_no_stopwords,unc_min_prob_no_stopwords,unc_min_logprob_no_stopwords,unc_median_prob_no_stopwords,unc_median_logprobs_no_stopwords,unc_PPL_no_stopwords,unc_var_prob_no_stopwords,unc_var_logprob_no_stopwords,unc_entropy_no_stopwords,unc_log_likelihood_no_stopwords,unc_sqrt_normalized_log_likelihood_no_stopwords
Pablo Picasso was a Spanish painter.,Pablo Picasso,0.9932583138227832,0.0,1.0,0.9932583138227832,-1.1125728871847969,0.4850692926470403,0.024780154126689255,-3.6977121829986572,0.37813761980822097,-0.9732736051082611,3.0421755082264705,0.1247908390266413,1.1101518858028068,2.1823157588937403,-11.125728871847969,-3.5182643864535175,-1.1689211311968393,0.5032705590806796,0.024780154126689255,-3.6977121829986572,0.30260113330297106,-1.2158334851264954,3.218518405644503,0.15423966602787195,1.3712694848181,1.4526060202592608,-9.351369049574714,-3.30620823416614
Pablo Picasso was a Spanish sculptor.,Pablo Picasso,0.9937585204625377,0.0011635716449764,1.0,0.9937585204625377,-1.174352817253252,0.5225748538351664,0.021559759267917315,-3.8369266986846924,0.3930330814003397,-0.933861494064331,3.236047951587748,0.13911350966714678,1.736912352254518,2.03247909411339,-12.917880989785772,-3.89488766632584,-1.2381688795349974,0.5470883785995689,0.021559759267917315,-3.8369266986846924,0.36324008963905396,-1.0126912593841553,3.4492916100334283,0.1666404180102952,2.1000099339930305,1.3027693484687752,-11.143519915814977,-3.7145066386049925
Pablo Picasso was a Spanish printmaker.,Pablo Picasso,0.9972780093529166,0.0,1.0,0.9972780093529166,-1.7509337362399409,0.5042328899080769,4.3686592331500406e-05,-10.038469314575195,0.39303488525246366,-0.9338569045066833,5.759978466465384,0.12636314359176903,7.8571548919818754,2.1377921933128987,-19.26027109863935,-5.807190235882991,-1.9428790042163908,0.524670393721031,4.3686592331500406e-05,-10.038469314575195,0.3696214685254043,-0.9952758550643921,6.978814111097487,0.15206436889286995,9.400068727628833,1.4080823208472677,-17.485911037947517,-5.828637012649172
Pablo Picasso was a Spanish ceramicist.,Pablo Picasso,0.9968863201869236,7.461876804674934e-05,1.0,0.9968863201869236,-1.508440705341248,0.5234625483313345,0.00016583766794084644,-8.704501152038574,0.49799738245005354,-0.7061583995819092,4.519677787452091,0.11317607281863003,5.625748587715242,2.437628355689453,-18.101288464094978,-5.225391883712152,-1.6326922800566535,0.545702473830346,0.00016583766794084644,-8.704501152038574,0.5779147054636964,-0.5485983192920685,5.117634292655385,0.13276965711358152,6.657831881852663,1.707918112948783,-16.326922800566535,-5.16302632315253
Pablo Picasso is widely regarded as one of the most influential artists of the 20th century.,Pablo Picasso,0.9965361380593925,0.0,1.0,0.9965361380593925,-0.5691282496883777,0.7472933673675218,0.006760197672314243,-4.996703147888184,0.9205713595677892,-0.0827607586979866,1.7667262357814573,0.10128529625382306,1.2198979549857218,2.8643479301247963,-13.089949742832687,-2.7294432006633143,-0.6224230858737,0.7210458127055501,0.006760197672314243,-4.996703147888184,0.8742347922385131,-0.13440629839897156,1.8634378457392666,0.09706591901771446,1.3793313747174916,2.476692723591695,-10.5811924598529,-2.5663161268801566
"Pablo Picasso was born on October 25, 1881.",Pablo Picasso,0.9992796063082232,1.668966320404718e-05,1.0,0.9992796063082232,-0.4707800935016406,0.735098958420894,0.09764233210457626,-2.326444149017334,0.9679775877305578,-0.03254634514451027,1.6012428252516988,0.10603428421726957,0.4335069168465748,2.6443152773642824,-8.944821776531171,-2.0520828522042804,-0.3398750214940211,0.7904555371682358,0.24196262294834286,-1.4189720153808594,0.9858812250726141,-0.014219393022358418,1.404772013284668,0.08611943299551167,0.25677255925135356,2.0544843755142677,-5.7778753653983586,-1.4013406131289217
"Pablo Picasso was born in Malaga, Spain.",Pablo Picasso,0.9996673311865448,0.0,1.0,0.9996673311865448,-0.8433783725038386,0.6303602187302529,0.007355504689336269,-4.912306308746338,0.7164331231255463,-0.3334703743457794,2.3242057609951776,0.11532414434375451,1.6316943907445316,2.303961212679739,-10.963918842549901,-3.040843966679959,-0.904806656609501,0.6290894716159604,0.007355504689336269,-4.912306308746338,0.7164331231255463,-0.3334703743457794,2.471454037557875,0.12857697954340647,1.8834372133338904,1.7974839896508015,-9.952873222704511,-3.0009041877896565
"Pablo Picasso died on April 8, 1973.",Pablo Picasso,0.9982095687377868,0.0,1.0,0.9982095687377868,-0.8153165619484807,0.6918886221247718,0.013394168823482485,-4.312935829162598,0.9495475649999143,-0.05176965519785881,2.259890954612101,0.1397782576605908,1.7172387260845934,1.9105842109180782,-13.86038155312417,-3.36163630322903,-0.7154813824563462,0.7295332258478928,0.013394168823482485,-4.312935829162598,0.9571833839162078,-0.04379210248589516,2.045170954751641,0.12442342354337382,1.6551260743730265,1.6944685409765952,-11.447702119301539,-2.8619255298253847
"Pablo Picasso died in Mougins, France.",Pablo Picasso,0.9986352198606404,0.0,1.0,0.9986352198606404,-1.5087017131242777,0.5677830272432273,9.04194310234909e-05,-9.311051368713379,0.541860378887713,-0.6159001886844635,4.520857612496464,0.15401879788185519,6.0449297689668695,2.091757550812353,-21.121823983739887,-5.645044909349953,-1.5834907169029555,0.5664721981333142,9.04194310234909e-05,-9.311051368713379,0.4988969521033294,-0.6953557133674622,4.87193270107021,0.1658423418975455,6.431616835372807,1.778031940878527,-20.585379319738422,-5.709356974014838
Picasso had an incredibly prolific artistic career.,Pablo Picasso,0.9975110380151444,0.0,1.0,0.9975110380151444,-2.142941847179221,0.38606518710868176,0.002480070413746471,-5.9994683265686035,0.1585162215344584,-1.8653636574745178,8.524478490634273,0.1692541124874818,3.943477072368901,1.5900846599542215,-25.71530216615065,-7.4233683139598226,-1.8583002266095718,0.45749891937774817,0.002480070413746471,-5.9994683265686035,0.27785041194163657,-1.3302813172340393,6.4128271491674536,0.17248104049521287,4.23713554870732,1.386523599997821,-18.58300226609572,-5.8764612924932855
